title,author,genre,length_category
My Soul to Keep,Tananarive Due,Fiction,average
Peril's Gate,Janny Wurts,Fiction,long
Fugitive Prince,Janny Wurts,Fiction,long
Love in Vein,Poppy Z. Brite,Fiction,average
Cat on the Edge,Shirley Rousseau Murphy,Fiction,average
Cat in the Dark,Shirley Rousseau Murphy,Fiction,average
Treasure Box,Orson Scott Card,Fiction,average
Homebody,Orson Scott Card,Fiction,long
Imajica II,Clive Barker,Fiction,long
Choke,Stuart Woods,Fiction,average
Dirt,Stuart Woods,Fiction,long
Kilo Class,Patrick Robinson,Fiction,long
Their Eyes Were Watching God,Zora Neale Hurston,Fiction,average
A Tree Grows in Brooklyn,Betty Smith,Fiction,long
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,long
Daughter of Fortune,Isabel Allende,Fiction,long
By the River Piedra I Sat Down and Wept,Paulo Coelho,Fiction,average
The Alchemist,Paulo Coelho,Fiction,short
Veronika Decides to Die,Paulo Coelho,Fiction,average
Goodnight Moon 123,Margaret Wise Brown;Clement Hurd,Juvenile Fiction,short
Charlotte's Web Signature Edition,E. B. White,Juvenile Fiction,average
By Myself and Then Some,Lauren Bacall,Biography & Autobiography,long
The Art of Loving,Erich Fromm,Self-Help,short
Factotum tie-in,Charles Bukowski,Fiction,average
The White Masai,Corinne Hofmann,Biography & Autobiography,average
Mandy,Julie Andrews Edwards,Juvenile Fiction,average
The Crusader,Paul Kengor,Political Science,long
Spider's House,Paul Bowles,Fiction,long
Days,Paul Bowles,Fiction,short
Howl,Allen Ginsberg;Barry Miles,Poetry,average
Coraline,Neil Gaiman,Fiction,short
Points in Time,Paul Bowles,Fiction,short
At the Edge,Cait London,Fiction,average
Remind Me Again Why I Need A Man,Claudia Carroll,Fiction,average
Stardust,Neil Gaiman,Fiction,average
When the Heart Waits,Sue Monk Kidd,Religion,average
The Gabriel Hounds,Mary Stewart,Fiction,average
The Pact,Jodi Picoult,Fiction,long
The Known World,Edward P. Jones,Fiction,average
Ines of My Soul LP,Isabel Allende,Fiction,long
Women,Charles Bukowski,Fiction,average
Smithsonian Intimate Guide to Human Origins,Carl Zimmer,Social Science,short
My secret,Frank Warren,Antiques & Collectibles,short
The Secret Lives of Men and Women,Frank Warren,Self-Help,short
To Kill a Mockingbird (slipcased edition),Harper Lee,Fiction,average
The Complete C. S. Lewis Signature Classics,C. S. Lewis,Religion,long
The End of Days,Zecharia Sitchin,History,average
The Blue and Brown Books,Ludwig Wittgenstein,Philosophy,average
The Pursuit of Happyness,Chris Gardner,Biography & Autobiography,average
What A Lady Wants,Victoria Alexander,Fiction,average
A Little Bit Wicked,Victoria Alexander,Fiction,average
The Wit and Wisdom of Winston Churchill,James C. Humes,History,average
"Sleep, Pale Sister",Joanne Harris,Fiction,average
Midnighters #2: Touching Darkness,Scott Westerfeld,Young Adult Fiction,average
The Queen of Attolia,Megan Whalen Turner,Young Adult Fiction,average
The Collected Poetry of Nikki Giovanni,Nikki Giovanni,Poetry,average
Sugarplums and Scandal,Dana Cameron;Mary Daheim;Lori Avocato;Kerrelyn Sparks;Suzanne Macpherson;Cait London,Fiction,average
"How to Buy, Sell, and Profit on eBay",Adam Ginsberg,Business & Economics,average
Owning Your Own Shadow,Robert A. Johnson,Self-Help,short
The World's Religions,Huston Smith,History,long
Muhammad,Karen Armstrong,Biography & Autobiography,average
A Manual for Living,Epictetus,Religion,short
The Pilgrimage,Paulo Coelho;Alan R. Clarke,Fiction,average
The Valkyries,Paulo Coelho,Fiction,average
Rainforest Home Remedies,Rosita Arvigo;Nadine Epstein,Health & Fitness,average
A Circle of Quiet,Madeleine L'Engle,Religion,average
Bulfinch's Mythology,Richard P. Martin,Reference,long
Romanticism,Hugh Honour,Art,long
Betsy-Tacy,Maud Hart Lovelace,Juvenile Fiction,short
Betsy and Tacy Go Over the Big Hill,Maud Hart Lovelace,Juvenile Fiction,short
Heaven to Betsy,Maud Hart Lovelace,Juvenile Fiction,average
